index,quest_id,code,title,category,objective_text,reward_text,notice_text,v0,v1,v2
43,1016,0001,The Wizard of Oz Repair,16,"Recover ""The Wizard of Oz"" from Dorothy in the [The Wizard of Oz] episode","7 The Wizard of Oz"" Parts (""""The Wizard of Oz"""" Clear) and 1 Cover (""""The Wizard of Oz"""" Rank B or higher)""",Help recover and restore a book. Details available at the library counter. Paige,1,1,0
44,1017,0022,巨大ロボットを探せ！,16,[オズの魔法使い] エピソードで、ロボット研究部の巨大ロボットを破壊しよう,"巨大ロボットの残骸 3つ (""オズの魔法使い"" C- 以上の成績でクリア)",ロボット研究会の巨大ロボット捜索に協力してくれる 1年生を探しています。　生徒会実行委員長　グレイ,37,37,21
45,2018,0048,Occult Club Promotion,16,In the [Occult Club Guide] episode、recover the stolen posters.,"30 Occult Research Club Posters (""Occult Club Guide"" Clear)",First-year students who feel like they have been unlucky lately、Why not help with the glorious Occult Research Club's promotional activities? Your destiny will change! Kurata、Occult Research Club,169,169,0
46,2019,0043,Remove The Cursed Talismans,16,In the [Occult Club Guide] episode、collect the [Cursed Talismans] placed throughout the school.,"25 Cursed Talismans (""Occult Club Guide"" Clear)",Notice from the student council: Students who helped with the Occult Research Club's promotional activities、 please come to the faculty room immediately. Shin Sohyun、Student Council,172,172,0
47,1018,0033,天上の楽器,17,[図書館の秘密] エピソードで、女神が使ったといわれる [天上の楽器]を探そう,"天上の楽器（？）1個 (""図書館の秘密"" B 以上の成績でクリア)",いっしょに図書館の地下に行く1年の人ぼしゅ～　音楽室で待ってるからよろしく～　アリーナ,40,40,41
48,1035,0012,図書館の宝箱,17,[図書館の秘密] エピソードで [マオ＝シャオピン] 先生が無くしてしまった [箱]を探そう,"鍵の掛かった宝箱 3つ (""図書館の秘密"" C- 以上の成績でクリア)",協力者求ム　図書館地下への探し物、3年生以下。　マオ＝シャオピン,13,13,0
49,1048,0012,Mao's Suspicious Research,17,Go to Sowol Academy and find the music sheet that can allegedly summon a demon for Mao-sensei's research.,"1 Opera Sheet Music (""Phantom of the Opera"" Clear with B or higher)",Research assistant wanted. Looking for experimental materials at Sowol Academy. Mao Xiaoping,13,13,0
50,2020,0043,悪魔の楽譜,17,[ファントム オブ オペラ] エピソードで、悪魔を呼ぶ危険な [オペラ楽譜]を回収しよう,"オペラの楽譜 1部 (""ファントム オブ オペラ"" B 以上の成績でクリア)",生徒会からのお知らせ　重要任務に協力する、勇気ある 1年生を募集します。　生徒会　シンソヒョン,172,172,41
51,2021,0046,Zero-Seven invasion!,17,In the [Phantom of Opera] episode、 defeat the Zero-Sevens that have invaded the school and are causing trouble.,"30 Zero-Seven Skulls (""Phantom of the Opera"" Clear)",Help me～! >_< Youen,173,173,0
52,1019,0014,羊を守ろう！,21,[羊か温室か] エピソードで、羊を飼育場に返そう,"羊のネックレス 40本 (""羊か温室か"" クリア)",温室に迷い込んだ羊たちを、飼育場に連れ戻してくれる、動物好きの人はいませんか？　飼育部　ヒョンラン,33,33,0
53,1020,0005,温室を守ろう！,21,[羊か温室か] エピソードでバラウスを退治しよう,"バラウスの茎 50個 (""羊か温室か"" クリア)",モンスターをやっつけて羊を温室から連れ出してくれる生徒募集！　温室管理人　ジョニー,6,6,0
54,1067,0006,愛の交換日記？,21,宵月学院の [妖艶]に会って、メイが忘れて来た品物を受け取って来よう,"日記帳 1冊 (""？？？""B+ 以上の成績でクリア)",宵月学院まで行って来てくれる人を募集！　温室管理人助手　メイ,7,7,0
55,2022,0043,学用品泥棒,21,[私の三角定規を返して！] エピソードで、盗まれた学用品を取り戻そう,"鉛筆 30本、参考書 40冊 (""私の三角定規を返して！"" クリア)",生徒会からのお知らせ　盗難された学用品の回収に協力する生徒を募集します。　生徒会　シンソヒョン,172,172,0
56,2046,0048,御札の効き目,21,[私の三角定規を返して！] エピソードで御札を回収しよう,"幽霊退治の御札 10枚 (""私の三角定規を返して！"" エピソードクリア)",僕の御札の効き目が気になる皆さん　今だけのチャンスです！　オカルト研究部　暗田,169,169,0
57,1021,0021,名探偵スーチョン,23,[スーチョンの奇妙な事件簿] エピソードで殺人事件について調査しよう,"殺人事件報告書 1部 (""スーチョンの奇妙な事件簿"" B 以上の成績でクリア)",2年生諸君！　このスーチョンと共に、殺人事件を調査せよ！　生徒会　スーチョン,36,36,11
58,1033,0003,ペンギンと木こり,23,[スーチョンの奇妙な事件簿] エピソードで薪を集めよう,"薪 25本 (""スーチョンの奇妙な事件簿"" クリア)",アルバイト急募！　薪集めの仕事です。　高給優遇。　購買　No.2,4,4,0
59,2023,0048,理想の彼女,23,[月夜の大魔術] エピソードで、フォクシーの毛を集めよう,"フォクシーの毛 40束 (""月夜の大魔術"" クリア)",理想の異性との出会いに興味のある 2年生の皆さん　今だけのチャンスです！　オカルト研究部　暗田,169,169,11
60,2024,0038,暗田騷動,23,[月夜の大魔術] エピソードで、暗田に騒動を起こさせないようにしよう,"黒マント 1枚 (""月夜の大魔術"" B+ 以上の成績でクリア)",墓地で騒動が起こらないよう、見張ってくれる生徒を求めています。神の祝福を　バーモント,174,174,0
61,2043,0048,生き人形？,23,[スーチョンの奇妙な事件簿] エピソードで、人形を作る材料(？)を集めよう,"生きている木の破片 25個 (""スーチョンの奇妙な事件簿"" クリア)",人形作りに興味のある皆さん　今だけのチャンスです！　オカルト研究部　暗田,169,169,0
62,1022,0010,幽霊退治,27,[真夜中の幽霊] エピソードで幽霊について調査しよう,"ドロシーのヘアバンド 1個 (""真夜中の幽霊"" B+ 以上の成績でクリア)",幽霊を怖がらない生徒募集！　職員室まで。　リエズ,11,11,0
63,2026,0003,狐火集めのアルバイト,27,[ヒトダマ事件]エピソードで、特別注文品の「狐火」を集めて、暗田に配達しよう,"狐火 30個 (""ヒトダマ事件"" クリア)",アルバイト急募！　特別注文品の「狐火」を集めて来る仕事です。高給優遇。　購買　No.27,27,169,0
64,2025,0043,ヒトダマ騒動,28,[ヒトダマ事件]エピソードで、裏山に現われるというヒトダマについて調査しよう,"アンモネラの角 1個 (""ヒトダマ事件"" B+ 以上の成績でクリア)",生徒会からのお知らせ　裏山のヒトダマの噂についての調査に協力する生徒を募集します。　生徒会　シンソヒョン,172,172,0
65,2042,0022,〆切地獄,28,学校の問題を解決して、グレイが原稿を書けるようにしよう。（バラウスの花びら 30枚、殺人事件報告書 1部、ドロシーのヘアバンド 1個、ワルグマーの反省文 35通),"""羊か温室か"" クリア、""スーチョンの奇妙な事件簿"" B 以上でクリア、""真夜中の幽霊"" B 以上でクリア、""ベン先生の家計"" クリア",校内の問題解決に協力してくれる生徒を探しています。　生徒会実行委員長　グレイ,37,37,0
66,1023,0022,ワルグマーの更生,29,[ベン先生の家計] エピソードでワルグマーを更生させよう,"ワルグマーの反省文 35通 (""ベン先生の家計"" クリア)",校内の風紀を乱すワルグマー達の更生に協力してくれる生徒を探しています。　生徒会実行委員長　グレイ,37,37,0
67,1038,0003,金銭出納帳を探せ！,29,[ベン先生の家計] エピソードで盗まれた金銭出納帳を取り戻そう,"金銭出納帳 1冊 (""ベン先生の家計"" B+ 以上の成績でクリア)",急募！　大至急、購買まで　No.2,4,4,0
68,2027,0039,Halloween Party,29,In the [Halloween Trick] episode、teach the troublemaking Halloween monsters a lesson.,"35 Halloween Candies (""Halloween Trick"" Clear)",We are looking for someone to defeat the Halloween monsters causing trouble in the cemetery.　Suiren,176,176,0
69,2028,0040,ハロウィンにはカボチャを……,29,[ハロウィーン・トリック] エピソードでカボチャ頭を手に入れよう,"カボチャ頭 30個 (""ハロウィーン・トリック"" クリア)",おまえらてつだいにこい　かれん,175,175,0
70,1024,0021,生徒会コンパニオン,31,[特命生徒会リローデッド] エピソードでスーチョンを手伝って、スーチョンスタンプを集めよう,"スーチョンスタンプ 5つ (""特命生徒会リローデッド"" クリア)",2年生諸君に告ぐ。生徒会は諸君に協力を要請する。　生徒会　スーチョン,36,36,0
71,2029,0046,制服幽霊の恐怖,31,[宝物を返して] エピソードで、学校で騒動を起こす幽霊たちを退治しよう,"ボロボロの制服 20着 (""宝物を返して"" クリア)",2年生の皆さん、幽霊をなんとかして～！>_<　保健室　妖艶,173,173,0
72,2052,0051,サム先生の財布,31,[宝物を返して] エピソードで、サム先生が無くしてしまった財布を探そう,"空の財布 5つ (""宝物を返して"" クリア)",緊急！　探し物を手伝ってくれる生徒募集！　サム,171,171,0
73,1068,0004,入れ替わったかばん,32,宵月学院の [サム] 先生に、間違えられた [書類かばん]を届けて、 [ベン] 先生の [書類かばん]を受け取って来よう,"ベン先生の書類かばん 1個 (""？？？""B+ 以上の成績でクリア)",宵月学院に届けものをしてくれる生徒を募集しています。　ベン,5,5,0
74,1025,0032,Mocha Is Missing!,33,Find Mocha in the [Lost Lamb] episode.,"1 Lost Pair of Glasses (""Lost Lamb"" B+ cleared with B+ or higher)","Second-year students, please help! Lend us your strength! China",39,39,32
75,1039,0010,Bad Bears,33,Help reform the Wargumas who are still causing trouble after the [Lost Lamb] episode.,"45 Warguma Apology Letters (""Lost Lamb"" Clear)",Students wanted! Help reform delinquents. Report to the faculty room. Riez,11,11,0
76,1057,0010,借家契約書を探せ,33,[迷える子羊] エピソードで、ワルグマーたちに奪われた借家契約書を取り戻そう,"借家契約書 1部 (迷える子羊"" B+ 以上の成績でクリア)",生徒募集！！　急いで職員室へ！　リエズ,11,11,0
77,2030,0048,ファーストコンタクト,33,[未知との遭遇] エピソードで、墓石の破片を集めよう,"墓石の破片 35個 (""未知との遭遇"" クリア)",宇宙人に興味のある 2年生の皆さん　今だけのチャンスです！　オカルト研究部　暗田,169,169,12
78,2049,0051,入れ替わったかばん,33,エスティバー学園の [ベン] 先生に、間違えられた [書類かばん]を届けて、 [サム] 先生の [書類かばん]を受け取って来よう,"サム先生の書類かばん 1個 (""？？？""B+ 以上の成績でクリア)",エスティバー学園に届けものをしてくれる生徒を募集しています。　サム,171,171,0
79,1026,0012,盗まれたかばん,35,[マオ先生のかばん] エピソードで盗まれたかばんを探そう,"置き忘れられたかばん 7個 (""マオ先生のかばん"" クリア)",協力者求ム　紛失物の発見、2～3年生。　マオ＝シャオピン,13,13,0
80,1041,0033,アリーナのチケット,35,[マオ先生のかばん] エピソードで、盗まれたライブのチケットを探そう,"ライブのチケット 35枚 (""マオ先生のかばん"" クリア)",無くなったライブのチケットを探して～　謝礼アリ！　アリーナ,40,40,0
81,2031,0039,水蓮のほうき,36,[Fly High!] エピソードで、盗まれた水蓮のほうきを探そう,"水蓮のほうき 1本 (""Fly High!"" B+ 以上の成績でクリア)",無くなってしまったわたくしのほうきを、見つけて下さる方を探しています。　水蓮,176,176,0
82,2040,0039,無くした原稿,36,[Fly High!] エピソードで水蓮の原稿を探そう,"水蓮の原稿の草本 1部 (""Fly High!"" B+ 以上の成績でクリア)",無くなってしまったわたくしの原稿を、探して下さる方を探しています。　水蓮,176,176,0
83,1027,0007,ビアンカ先生の愛読書,37,[本泥棒を捕まえろ！] エピソードで盗まれた雑誌を探そう,"月刊セレブ 1冊 (""本泥棒を捕まえろ！"" B+ 以上の成績でクリア)",誰か図書館で本探してきて　ビアンカ,8,8,0
84,1028,0001,盗まれた本,37,[本泥棒を捕まえろ！] エピソードで盗まれた本を探そう,"盗まれた本 77冊 (""本泥棒を捕まえろ！"" クリア)",盗まれた本の回収の仕事です。　詳細は図書館のカウンターにて。　ページ,1,1,0
85,2032,0038,Gloomy Sunday,37,[火蓮の家出] エピソードで、水蓮と火蓮を助けよう,"編みかけのマフラー 1枚 (""火蓮の家出"" B 以上の成績でクリア)",火蓮のために力を貸してくれる生徒を求めています。神の祝福を　バーモント,174,174,0
86,2033,0039,ゼロセブンの復讐,37,[火蓮の家出] エピソードで、墓地を荒らすゼロセブンを退治しよう,"ゼロセブンの残骸 25個 (""火蓮の家出"" クリア)",墓地を荒らしているゼロセブンを、追い払って下さる方を探しています。　水蓮,176,176,0
87,1029,0003,鋼鉄のバイト,39,[変熊のアヤシイ依頼] エピソードで鋼鉄の破片を集めよう,"鋼鉄の破片 20個 (""変熊のアヤシイ依頼"" クリア)",アルバイト急募！　武器の材料集めの仕事です。　高給優遇。　購買　No.2,4,4,0
88,1042,0009,ブルジョワランチ,39,[変熊のアヤシイ依頼] エピソードで、[ビアンカ] 先生の邸宅に行ってお弁当を探そう,"薬莢 6個(""変熊のアヤシイ依頼"" クリア)を集めた後、ビアンカ先生と話して「ビアンカ先生のフルコース弁当」 1個と交換",共にうまいメシを食いたい者、裏庭にて待つ。　四刀丸,10,10,0
89,2034,0048,ドヴォルザーク　交響曲 9番,39,[新世界をめざして] エピソードで、岩の破片を集めよう,"岩の破片 4つ (""新世界をめざして"" クリア)",こことは別の世界に興味のある 2年生の皆さん　今だけのチャンスです！　オカルト研究部　暗田,169,169,0
90,1030,0008,変熊の野望！,40,[変熊のアヤシイ依頼] エピソードでビアンカ先生のハンカチを手に入れよう,"ビアンカのハンカチ 1枚 (""変熊のアヤシイ依頼"" B+ 以上の成績でクリア)",勇気と実力のあるプロフェッショナルを大・募集！　Ｍｒ．Ｈ,15,15,0
91,1031,0006,マオ先生の身辺調査,41,[真実はそこにある？] エピソードでハイバラウスとマオ＝シャオピン先生の関係を調べよう,"ハイバラウスの花びら 25枚 (""真実はそこにある？"" クリア)",極秘任務　ある人の身辺調査に協力してくれる人を募集！　温室管理人助手　メイ,7,7,42
92,1034,0011,科学室のバラウス退治,41,[真実はそこにある？] エピソードで騒動を起こしているバラウスを退治しよう,"バラウスの花びら 30枚 (""真実はそこにある？"" クリア)",校舎 2階のバラウスを退治して下さる生徒をお待ちしております。かしこ　ソムンヤン,12,12,0
93,2036,0003,ミステリーサークル,41,[神父様と狐の姉妹]エピソードで、特別注文品の「狐火」を集めて、暗田に配達しよう,"狐火 30個 (""神父様と狐の姉妹"" クリア)",アルバイト急募！　特別注文品の「狐火」を集めて来る仕事です。高給優遇。　購買　No.27,27,169,0
94,2039,0043,宵月新聞・今月号,42,シンソヒョンの代わりに、 [水蓮]、[妖艶] 先生、[グレイ] から今月の原稿を受け取って来よう,水蓮の原稿 1部、妖艶先生の原稿 1部、グレイの原稿 1部 (それぞれのクエストクリア),新聞部からのお知らせ　宵月新聞の発行に協力する生徒を募集します。　新聞部　シンソヒョン,172,172,0
95,2041,0046,頭脳労働には糖分補給が……,42,[神父様と狐の姉妹] エピソードで、フォクシーが持っている、甘い味の草を集めよう,"甘い味の草 15枚 (""神父様と狐の姉妹"" クリア)",原稿執筆に協力してくれる生徒の皆さんを募集しています。　保健室　妖艶,173,173,0
96,2035,0038,狐の姉妹,43,[神父様と狐の姉妹] エピソードで、水蓮と火蓮を助けよう,"ナインフォックスの毛 1束 (""神父様と狐の姉妹"" B+ 以上の成績でクリア)",水蓮と火蓮のために力になってくれる生徒を求めています。神の祝福を　バーモント,174,174,22
97,1080,0022,コレクター・グレイ,43,グレイにアンティークの破片を渡そう,アンティークの破片 1個 (NPC 会話),アンティークの探索に協力してくれる生徒を探しています。　生徒会実行委員長　グレイ,37,37,0
98,1081,0012,マオ＝シャオピンの研究,43,マオ＝シャオピン先生にアンティークの破片を渡そう,アンティークの破片 1個 (NPC 会話),アンティークの情報求ム　破片の提供歓迎。　マオ＝シャオピン,13,13,0
99,2063,0043,破片の主,43,シンソヒョンにアンティークの破片を渡そう,アンティークの破片 1個 (NPC 会話),生徒会からのお知らせ　アンティークの調査任務に協力する生徒を募集します。　生徒会　シンソヒョン,172,172,0
100,2064,0048,あの御方のコレクション,43,暗田にアンティークの破片を渡そう,アンティークの破片 1個 (NPC 会話),アンティークの神秘の片鱗に触れてみたくはないですか？　今だけのチャンスです！　オカルト研究部　暗田,169,169,0
101,1040,0003,失われたテクノロジー？,44,[ファーストコンタクト]エピソードで、注文のあったチップを集め、マオ先生に配達しよう,"世界樹の養分チップ 30個 (""ファーストコンタクト"" クリア)",アルバイト急募！　特別注文品を集めて来る仕事です。2～3年生まで、高給優遇。　購買　No.2,4,13,0
102,2037,0046,奇跡の万能薬,44,[世界樹の幽霊]エピソードで、万能薬だといううわさの「世界樹の葉」を探そう,"世界樹の葉 5枚 (""世界樹の幽霊"" クリア)",万能薬という噂のある「世界樹の葉」の採取に協力してくれる、2年生の皆さんを募集しています。　保健室　妖艶,173,173,42
103,2038,0003,禁断のテクノロジー？,44,[世界樹の幽霊]エピソードで、特別注文された品を集めて、暗田に配達しよう,"世界樹の養分チップ 30個 (""世界樹の幽霊"" クリア)",アルバイト急募！　特別注文品を集めて来る仕事です。高給優遇。　購買　No.27,27,169,0
104,1032,0006,世界樹の治療,45,[ファーストコンタクト]エピソードで、世界樹が弱っていく理由を調査しよう,"世界樹の破片 1つ (""ファーストコンタクト"" B+ 以上の成績でクリア)",重要任務　世界樹が枯れ始めた原因の調査に協力してくれる人を募集！　温室管理人助手　メイ,7,7,0
105,1044,0001,図書館地下修理作戦,45,[水門事件]エピソードでレバーを修理しよう,"岩の破片 15個 (""水門事件"" クリア)",図書館地下の水門開閉装置の修理の仕事です。　詳細は図書館のカウンターにて。　ページ,1,1,0
