index,quest_item_id,code,name,description
42,53,qe000053,図書館の図面,図書館の地図の一部分。秘密のドアや機関装置まで詳細に書かれているようだ
43,54,qe000054,封印された手紙,封印を解こうとするとバラバラになる
44,55,qe000055,落ちていた財布,お金と身分証がまだ残っている、落ちていた財布
45,56,qe000056,参考書,勉強に必要な参考書
46,57,qe000057,ミントジュース,ミントジュース
47,58,qe000058,記憶の貝殻,古い記憶が込められた貝殻。耳に当てると、かすかに波の音が聞こえる
48,59,qe000059,無断貸出図書,生徒たちが図書館から無断で持ち出した本
49,60,qe000060,発光クリスタル,明るく輝くガラスの破片。時間が経つと光が弱まる
50,61,qe000061,真珠,きれいに輝く真珠
51,62,qe000062,いい香りの化粧用パウダー,ピンク色のきれいなパウダー。いい香りがする
52,63,qe000063,秘密のメモ,マオ＝シャオピン 710-0906 / ジョニー 710-1264
53,64,qe000064,労働証明書,下郎蛙たちの働きを証明する文書。古い材質の紙で作られている
54,65,qe000065,コチュジャン,辛い味がする調味料。その赤さが、辛さを物語っている
55,66,qe000066,不幸の手紙,送られた人は、同じ文面の手紙を他人に送らないと不幸になるという手紙。真偽はいまだに不明
56,67,qe000067,Opera Sheet Music,Sheet music for an opera rumored to summon the Phantom.
57,68,qe000068,ハート,愛のシンボルであるハート。恋人たちの必需品
58,69,qe000069,化粧用パフ,女生徒たち、女の先生たちが大事にしている化粧の道具。貴重品なので、かなりの高級品として扱われる
59,70,qe000070,狐火,フォクシーが持っている明かり。夜道を明るくする時使ったりする
60,71,qe000071,日記帳,誰かの日記帳。こっそり盗み読みすると楽しいかも？
61,72,qe000072,悪魔の契約書,悪魔と契約出来るという契約書、真偽は不明
62,73,qe000073,プリン,ダイエット中の女生徒たちの最大の敵・プリン！　でもとってもおいしい！
63,74,qe000074,呪いの人形,不幸の手紙とともに呪いをかけるという人形、先生に見付かったらすごく叱られるので気を付けよう
64,75,qe000075,,
65,76,qe000076,鋼鉄の破片,鋼鉄のかけら。熔かして武器の材料として使える
66,77,qe000077,Soso Fragment,A torn piece of paper with Soso's face printed on it.
67,78,qe000078,Wool,Soft and fluffy sheep wool.
68,79,qe000079,羊の焼肉,羊の焼肉
69,80,qe000080,幽霊退治の御札,縦長の紙で出来た御札。古びていて謎の文字が書かれている
70,81,qe000081,空の財布,中身が空っぽの、古い財布
71,82,qe000082,キャッツアイ,キャッツアイ
72,83,qe000083,錆びた十字架,錆び付いた古い十字架
73,84,qe000084,鉛筆,鉛筆
74,85,qe000085,参考書,参考書
75,86,qe000086,霊石,霊石
76,87,qe000087,Pumpkin Head,Pumpkin Head
77,88,qe000088,包装リボン,品物を包装するのに使われる
78,89,qe000089,蛙のお下げ髪,下郎蛙のお下げ髪
79,90,qe000090,暗黒のオーブ,暗黒のオーブ
80,91,qe000091,薪,燃料に使える薪
81,92,qe000092,アンモネラの角,アンモネラの角
82,93,qe000093,高級ワニ革,高級そうなワニの革。ビアンカ先生がワニ革のハンドバッグを作る時に使う
83,94,qe000094,エスティバー生徒証,
84,95,qe000095,Zero-Seven's Skull,A skull obtained by defeating Zero-Seven.
85,96,qe000096,ゼロセブンの骨,ゼロセブンの骨
86,97,qe000097,紙切れ,ソソを倒すと手に入る紙切れ
87,98,qe000098,蛙の目玉,クロコを倒すと手に入る蛙の目玉。集めると魂を見られるという……
88,99,qe000099,汚れた髪の毛,エミリーの髪の毛。暗田がこれを集めて呪いの人形を作ると言うが……
89,100,qe000100,ソソスケルトンの破片,黒い色の硬そうな紙
90,101,qe000101,珍しい仮面,酔っ払った金大鑑の仮面。他の金大鑑の仮面とは違うといううわさがある
91,102,qe000102,高級狐毛,高級そうな狐の毛
92,103,qe000103,高級シルク,高級そうな絹
93,104,qe000104,オオカミの足,オオカミの足
94,105,qe000105,オオカミの肉,オオカミの肉。四刀丸さんが焼いて醤油をかけて食べるらしい
95,106,qe000106,"Part of ""The Wizard of Oz""","A torn piece of ""The Wizard of Oz"". Collect these to restore the book."
96,107,qe000107,,
97,108,qe000108,,
98,109,qe000109,,
99,110,qe000110,「30日で合格　公認会計士」,公認会計士の資格試験の参考書
100,111,qe000111,ジョニーの**な写真,ジョニの**な写真、あるいは写真が入った封筒
101,112,qe000112,図書館の図面の一部,図書館の秘密地図が描かれているという極秘資料の一部
102,113,qe000113,新刊図書,新たに購入したきれいな本だ
103,114,qe000114,月刊セレブ,ビアンカが好んで読む雑誌。貴重な宝石や、最新ファッションなどに関する雑誌
104,115,qe000115,盗まれた本,図書館から盗まれた本。乱暴に扱われたため、表紙がしわくちゃになっている
105,116,qe000116,バラウスの茎,バラウスの茎
106,117,qe000117,巨大ロボットのシルエット写真,ロボット研究部が作った巨大ロボットのシルエットが写った写真
107,118,qe000118,巨大ロボットの残骸,巨大ロボットの残骸
108,119,qe000119,18禁の本,18禁の書籍。表紙がムフフな本だ
109,120,qe000120,ボロボロの旧制服,ボロボロに破れた宵月学院の旧制服
110,121,qe000121,ボロボロの旧制服,ボロボロに破れた宵月学院の旧制服
111,122,qe000122,ボロボロの制服,ボロボロに破れた宵月学院の女生徒の制服
112,123,qe000123,ボロボロの制服,ボロボロに破れた宵月学院の男子生徒の制服
113,124,qe000124,The Wizard of Oz Cover,The Wizard of Oz Cover
114,125,qe000125,「オズの魔法使い」,「オズの魔法使い」
115,126,qe000126,ドロシーのヘアバンド,ドロシーのヘアバンド
116,127,qe000127,羊のネックレス,羊のネックレス
117,128,qe000128,フォクシーの毛,フォクシーの毛
118,129,qe000092,Monera Remains,Monera Remains
119,130,qe000130,Halloween Candy,Halloween Candy
120,131,qe000131,ゼロセブンの残骸,ゼロセブンの残骸
121,132,qe000132,ナインフォックスの毛,ナインフォックスの狐毛
122,133,qe000133,Delivery Receipt,Delivery Receipt
123,134,qe000134,List of new Students,List of newly enrolled students who have recently started attending the academy.
124,135,qe000135,置き忘れられたかばん,置き忘れられたかばん
125,136,qe000136,鍵の掛かった宝箱,鍵の掛かった宝箱
126,137,qe000137,古文書,古文書
127,138,qe000138,Student Council Volunteer Certificate,Student Council Volunteer Certificate
128,139,qe000139,殺人事件報告書,殺人事件報告書
129,140,qe000140,スーチョンスタンプ,スーチョンが、生徒会に協力した生徒に配っているスタンプ
130,141,qe000141,Mocha's Handout,Mocha's Handout
131,142,qe000142,地震調査報告書,地震調査報告書
132,143,qe000143,Lost Glasses,Lost Glasses
133,144,qe000144,天上の楽器（？）,天上の楽器（？）
134,145,qe000145,Milk,Milk
135,146,qe000146,Milk Crate,Milk Crate
136,147,qe000147,Kurata Coupon,Kurata Coupon
137,148,qe000148,Occult Research Club Poster,Occult Research Club Poster
138,149,qe000149,Cursed Talisman,Cursed Talisman
139,150,qe000150,岩の破片,岩の破片
140,151,qe000151,Love Fulfillment Talisman,Love Fulfillment Talisman
141,152,qe000152,School Newsletter,School Newsletter
142,153,qe000153,Student Council Introduction Leaflet,Student Council Introduction Leaflet
143,154,qe000154,お供え物袋,犬のエサが入った袋
144,155,qe000155,水蓮のほうき,水蓮のほうき
145,156,qe000156,Spirit Photo,Spirit Photo
146,157,qe000157,Estiva Business Card,A business card from members of the Estiva Student Council.
147,158,qe000158,Sowol Business Card,A business card from members of the Sowol Student Council.
148,159,qe000159,世界樹の破片,世界樹の破片
149,160,qe000160,世界樹の葉,世界樹の葉
150,161,qe000161,世界樹の養分チップ,世界樹の養分チップ
151,162,qe000162,宵月学院生徒証,宵月学院生徒証
152,163,qe000163,金銭出納帳,金銭出納帳
153,164,qe000164,起動ディスク,起動ディスク
154,165,qe000165,ベン先生の家族写真,ベン先生の家族写真
155,166,qe000166,植物図鑑,植物図鑑
156,167,qe000167,唐鋤,農作業用の道具、からすき
157,168,qe000168,借家契約書,借家契約書
158,169,qe000169,定期預金通帳,定期預金通帳
159,170,qe000170,割引クーポン,割引クーポン
160,171,qe000171,セールの広告,セールの広告
161,172,qe000172,羊笛,羊笛
162,173,qe000173,羊コンテストトロフィー,羊コンテストトロフィー
163,174,qe000174,金塊,金塊
164,175,qe000175,生徒会予算書類,生徒会予算書類
165,176,qe000176,モカのお弁当,モカのお弁当
166,177,qe000177,編みかけのマフラー,編みかけのマフラー
167,178,qe000178,編み棒,編み棒
168,179,qe000179,サングラス,サングラス
169,180,qe000180,秘密報告書,秘密報告書
170,181,qe000181,秘密無線機,秘密無線機
171,182,qe000182,ライブのチケット,ライブのチケット
172,183,qe000183,バンドのポスター,バンドのポスター
173,184,qe000184,アリーナの楽器,アリーナの楽器
174,185,qe000185,アンティークの破片,アンティークの破片
175,186,qe000186,ニワトリの血,ニワトリの生き血。悪霊を追い払うという迷信がある。
176,187,qe000187,龍光剣,韓国の創生神話に登場する伝説の剣と同名の剣
177,188,qe000188,ハングル教本,ハングル教本
178,189,qe000189,宵月新聞 第1532回,宵月新聞 第1532回
179,190,qe000190,聖書,聖書
180,191,qe000191,ニンニク,ニンニク
181,192,qe000192,桃の種,桃の種
182,193,qe000193,小型カメラ,小型カメラ
183,194,qe000194,PTA 調査報告書,PTA 調査報告書
184,195,qe000195,聖水,バーモント神父様が持っている聖水
185,196,qe000196,灰色オオカミの毛,灰色オオカミ(狼人間)の毛。いつからか火蓮が持っている。動物から無理やりむしり取ったようだ
186,197,qe000197,今月の料理,料理雑誌。バーモント神父様が読む
187,198,qe000198,３段重ねのお弁当,バーモント神父様が水蓮と火蓮のために作ったお弁当。３段とも全部カレーだ……
188,199,qe000199,高級茶器セット,マオ先生が愛用する高級茶器セット
189,200,qe000200,真珠のネックレス,マオ先生の高級真珠ネックレス。シンプルなデザインで高級真珠が使われている
190,201,qe000201,ロイヤルブレンド,マオ先生が好んで飲む紅茶の一つ。既製品ではなく特注品のようだ
191,202,qe000202,マンガ本,退屈な時に読めるマンガ本
192,203,qe000203,XX 報告書,誰かに報告する報告書の一部
193,204,qe000204,盗聴器,小型盗聴器
194,205,qe000205,ホヤンのラブレター,ホヤンがメイイェンに書いたラブレター
195,206,qe000206,羽ペン,古くて羽毛が付いたペン。ホヤンがメイイェンにラブレターを書くのに使う
196,207,qe000207,古いインク瓶,空になった古いインク瓶
197,208,qe000208,新しいインク瓶,いっぱい入った新しいインク瓶
198,209,qe000209,ホヤンの眼鏡,ホヤンが使っている眼鏡
199,210,qe000210,詩集,メイイェンが好んで読む詩集
200,211,qe000211,メイイェンのラブレター,メイイェンがホヤンに書いたラブレター
201,212,qe000212,秘密の手紙,密蝋で堅く封印された手紙
202,213,qe000213,ルーベン＝シェパードのメモ,ぐにゃぐにゃの字で「詳しいことはシンソヒョンに……」と書かれている
203,214,qe000214,最新モデルの携帯電話,最新モデルで、小さく機能的なデザインの携帯電話
204,215,qe000215,デジタルカメラ,普通のデジタルカメラ
205,216,qe000216,宵月新聞筆者名簿,今度の号の新聞に記事を載せる人々と、内容に関して整理されたプリント
206,217,qe000217,水蓮の原稿,原稿用紙に鉛筆できれいに書かれた原稿
207,218,qe000218,水蓮の原稿の草本,原稿用紙に鉛筆できれいに書かれた原稿草本。何度も手直しを重ねられている
208,219,qe000219,妖艶先生の原稿,原稿用紙にきれいに書かれた新しい原稿
209,220,qe000220,グレイの原稿,A4用紙にきれいにプリントアウトされた原稿
210,221,qe000221,ビアンカ先生のフルコース弁当,昼休みになると 3人の料理人が作って車で配達してくる、ビアンカ先生の超豪華なお弁当
211,222,qe000222,壊れたレバーの破片,エスティバー図書館の地下水路のレバーが壊れた後の残骸
212,223,qe000223,墓石の破片,こわれた墓石の破片
213,224,qe000224,反省文,「もう二度と悪いことをしません。ワルグマー一同」と書かれた反省文。判子の代わりに、ワルグマーの前足の型が押してある
214,225,qe000225,ビアンカのハンカチ,ビアンカ先生のシルクのハンカチ。白地で、バラの茎と葉のような縁取り模様があり、四隅にばらの花が刺繍してある
215,226,qe000226,闇露店の屋台,路上で違法な品を並べて販売する屋台
216,227,qe000227,薬莢,薬莢
217,228,qe000228,Monera Thorn,Monera Thorn
218,229,qe000229,メイイェンの髪紐,メイイェンが髪を結わえるのに使う髪紐
219,230,qe000230,青いスカーフ,メイイェンが制服の上着にリボンで縛っている青色のスカーフ
220,231,qe000231,メイイェンの髪の毛,メイイェンの髪の毛数本
221,232,qe000232,ページのハンカチ,リボン付きで木綿100%のきれいなハンカチ
222,233,qe000233,おしゃぶり,どんぐりがいつもくわえているおしゃぶり
223,234,qe000234,羽扇,ソムンヤン先生が使っている羽扇
224,235,qe000235,ソムンヤン先生のリボン,ソムンヤン先生のリボン
225,236,qe000236,ジョニーの赤い頭巾,ジョニーが頭に被っている赤い頭巾
226,237,qe000237,スーチョン親衛隊腕章,スーチョンの寵愛を受ける親衛隊だけが持てるという、伝説？の腕章
227,238,qe000238,アリーナのヘッドホン,アリーナがいつも使っているヘッドホン
228,239,qe000239,羊の人形,ヒョンランが持っている、ちょっと小さな羊の人形
229,240,qe000240,猫の首輪,ペットの猫の首に付ける首輪で、エスティバーのマークが付いている
230,241,qe000241,猫の鈴,ペットの猫の首に付ける鈴で、エスティバーのマークが付いている
231,242,qe000242,チャイナの花飾り,チャイナが頭に飾る牡丹の花。一部マニアの間では……
232,243,qe000243,同好会予算計画書,同好会に分配する予算に関する計画書
233,244,qe000244,アロハシャツ,アロハシャツ
234,245,qe000245,チェーン,自転車のチェーン……としても使えるが、主に他の用途で使われている
235,246,qe000246,角材,釘が刺さっている角材
236,247,qe000247,聴診器,保健室で使う聴診器
237,248,qe000248,黒マント,暗田がいつも着ている黒い色のマント
238,249,qe000249,倚天の剣,三国時代の武将・曹操が持っていたという伝説の名剣と同名の剣
239,250,qe000250,ベン先生の書類かばん,ベン先生が持っている書類かばん
240,251,qe000251,金大鑑の斧,金大鑑が持っている大きな斧
241,252,qe000252,デンプの弓,デンプが持っている弓
242,253,qe000253,パペットマスターの笠,パペットマスターが使っている笠
243,254,qe000254,薬瓶,薬瓶
244,255,qe000255,エクトプラズム,エクトプラズム
245,256,qe000256,守衛の呼び子,守衛が使う呼び子
246,257,qe000257,鋼鉄の手枷,鋼鉄の手枷
247,258,qe000258,カマイタチの毛皮,カマイタチの派手な毛皮
248,259,qe000259,高級人形の球体関節,高級人形に使われる球体関節
249,260,qe000260,くわ,くわ
250,261,qe000261,ピコピコハンマー,ピコピコハンマー
251,262,qe000262,巨大な剣,巨大な剣
252,263,qe000263,チャイナドレス,マオ先生がよく着るチャイナドレス
253,264,qe000264,サム先生の書類かばん,サム先生が持っている書類かばん
254,265,qe000265,火蓮のほうき,火蓮のほうき。一回も使ってないので新品同様だ
255,266,qe000266,CD ケース,空の CD ケース
256,267,qe000267,USB メモリー,1G 大容量 USB メモリー
257,268,qe000268,最新ノートパソコン,薄くて小さな最新ノートパソコン
258,269,qe000269,旧型ノートパソコン,大きくて重い旧型ノートパソコン
259,270,qe000270,書類封筒,書類封筒
260,271,qe000271,白い手袋,白い手袋
261,272,qe000272,水蓮のリボン,水蓮が頭に飾っているリボン。一部の生徒が非常に欲しがっているようだ
262,273,qe000077,強いソソの破片,しぶとく逃げているかわいそうなソソ……
263,274,qe000274,カタツムリの肉,どこかの国では食材として使われるというカタツムリの肉。水気が多い
264,275,qe000275,カタツムリ＝クレームブリュレ,カタツムリの肉を主な食材として作られた料理
265,276,qe000276,麦藁帽子,あちこち穴が開いた、ボロボロの麦藁帽子
266,277,qe000277,星のかけら,星のかけら
267,278,qe000278,温室のカードキー,温室の門を開くのに使われるカードキー
268,279,qe000279,食器,スパービーたちが大事にしている食器
269,280,qe000280,毛の付いた手枷,毛の付いた手枷
270,281,qe000281,蛙の後足,しっかりと肉がついた蛙の後足。一部の食通の間で人気がある
271,282,qe000282,クモの足,折れたクモの足
272,283,qe000283,コウモリの羽,コウモリの羽
273,284,qe000284,モンスターの角,モンスターの折れた角
274,285,qe000285,鉄の食器,鉄の食器
275,286,qe000286,ばんそうこう,けがをした場所に貼るばんそうこう
276,287,qe000287,トゲ,トゲ
277,288,qe000288,マッチ,店などに置かれてる広告用マッチ
278,289,qe000289,胞子,胞子
279,290,qe000290,アンティークの破片,アンティークの破片
280,291,qe000291,木製関節,木で出来た人形の間接
281,292,qe000292,スターリンの腕章,スターリンの腕章
282,293,qe000293,影入道のかけら,影入道のかけら
283,294,qe000294,手裏剣 バージョン0.91,手裏剣 バージョン0.91
284,295,qe000295,可愛い生き物の写真,全然可愛いと思えない、モンスターの写真
285,296,qe000296,妖艶先生の人形,妖艶先生が大事にしてる人形。毎晩抱いて寝てるらしい
286,297,qe000297,オルガンペダル,メイイェンが大事にしてるオルガンのペダル。これが無いとオルガンは鳴らない
287,298,qe000298,ビアンカ先生の吸殻,ビアンカ先生が吸って捨てたタバコの吸穀。ぐしゃぐしゃになっているのが、ビアンカ先生の性格を象徴しているようだ
288,299,qe000299,消火器,火を消すための道具。インテリアとして使えないこともない？
289,300,qe000300,スターリンのヒゲ,スターリンの誇りである長い口ヒゲ。よく手入れされている
290,301,qe000301,強力殺虫剤,スパービーのしっぽから作られた、スパービー用の強力殺虫剤。効き目は未知数
291,302,qe000302,暗田の恥ずかしい写真,何度見ても笑える、暗田が窮地に陥っている時の写真
292,303,qe000303,クリスティーンの写真,隠し撮りしたクリスティーンの写真。アングルもばっちりだ
293,304,qe000304,ムジナの毛,意外にふかふかしたムジナの毛
294,305,qe000305,ホギーパペットの足,凶悪そうなホギーパペットの足。今にも独りでに動き出しそうだ
295,306,qe000306,ニーナの爪,ニーナの爪。鋭い上に汚いので、ひっかかれると病気になりそう
296,307,qe000307,ミュロビーの羽,ミュロビーの羽。意外ときれいだ
297,308,qe000308,スパービーのしっぽ,珍しいスパービーのしっぽ
298,309,qe000309,フランソワの体液,フランソワの健康をチェックするための体液。直接触ると危険
299,310,qe000310,サイクロコの目玉,巨大怪獣サイクロコの目玉。
300,311,qe000311,カタツムリの肉,ネバネバしたカタツムリの肉。見てるだけで気持ち悪くなりそう
301,312,qe000312,蛙の肉,ぬるぬるした蛙の肉。あまり食べたいとは思わない
302,313,qe000313,キングスパービーのかばん,キングスパービーが背負っていたかばん。意外と可愛い
303,314,qe000314,カタツムリ牛乳,気持ち悪くなりそうで飲みたくない牛乳
304,315,qe000315,メイイェンのラブレター,メイイェンの気持ちが込められた手紙。読んでみたいけど、それは人の道に反すると思う
305,316,qe000316,ホヤンの詩が書かれた紙,ホヤンの詩が書かれた紙切れ。書いてる途中で気に入らなくなって捨てたものらしい
306,317,qe000317,ミュロビーの卵,ミョロビーの卵。たぶん人体に有害
307,318,qe000318,メイイェンの楽譜,メイイェンがオルガンを弾くための楽譜。最近ではほとんど覚えてしまったので使わないらしい
308,319,qe000319,カマイタチの爪,カマイタチの鋭い足の爪。ケガをしないように気を付けよう
309,320,qe000320,ミュロビーのゆで卵？,モカが作ったミュロビーのゆで卵…と思おう
310,321,qe000321,失踪した生徒の生徒手帳,失踪した生徒の手帳。名前と学年などが書かれている
311,322,qe000322,走りの達人証明書,優れたランナーだという証明書。カルテが発行する、エスティバーの公認証明書だ
312,323,qe000323,暗田の呪い人形,暗田が大事にしてる人形。毎晩抱いて寝てるらしい…
313,324,qe000324,蛙牛乳,気持ち悪くなりそうで見たくもない牛乳
314,325,qe000325,謎の物体の破片,正体不明の物体の破片。こんなものを好んで集めてる人もいるらしい…
315,326,qe000326,バリアー設計図,「今日も勉強明日も勉強バリアー」の設計図。ひどく汚い字で書かれていて解読は困難
316,327,qe000327,スーチョンの試飲感想文,蛙牛乳を飲んだ感想文。「非常に満足」と書かれてる。本気か！？
317,328,qe000328,四刀丸の試飲感想文,蛙牛乳を飲んだ感想文。「実にうまい」と書かれてる。本当に！？
318,329,qe000329,ジョニーの試飲感想文,蛙牛乳を飲んだ感想文。「めちゃくちゃうまい」と書かれてる。もしかして本当に？
319,330,qe000330,ムジナ守衛の呼び子,ムジナ守衛がいつも身につけている呼び子。守衛は呼び子を吹くより先に攻撃してくるため、あまり使われていない
320,331,qe000024,進級の印,ビアンカ先生にもらった進級の証明書
321,332,qe000025,進級の印,ビアンカ先生にもらった進級の証明書
322,333,qe000026,進級の印,妖艶先生にもらった進級の証明書
323,334,qe000027,進級の印,妖艶先生にもらった進級の証明書
324,335,qe000353,ホヤンの眼鏡,ホヤンがいつもかけている眼鏡。昔風のデザインだ
325,336,qe000336,血まみれの刀,乾いた血がべっとりとこびりついた刀。持ち歩いているところを他人に見られると危険
326,337,qe000357,怪しい色のキノコ,食べる勇気がくじけそうな色をした、不気味なキノコ
327,338,qe000351,破壊の達人証明書,優れた破壊技術を持つという証明書。インジェクトが発行する、宵月学院の公認証明書だ
328,339,qe000337,机の破片,古い机の壊れた破片。釘が突き出ているものもあるので要注意
329,340,qe000345,ソソマミーの包帯,ソソマミーに巻かれていた包帯。思ったよりきれいに見える
330,341,qe000344,オルゴールの部品,オルゴールの部品。かなり複雑な構造に見える
331,342,qe000346,オルゴール組立てマニュアル,オルゴールの組立てに必須のマニュアル。これさえあれば誰でもオルゴールを組立てられる！
332,343,qe000356,パペットの足,木で出来たパペットの足。足だけでも動きそう…
333,344,qe000354,忍者刀,鋭い刃を持つ刀。隠密行動の邪魔にならないよう、普通の刀よりも刃渡りが短く作られている
334,345,qe000340,きれいな火蓮の髪の毛,お風呂上がりでいい匂いのする、火蓮の髪の毛。レア度 A+ 以上のお宝アイテム！
335,346,qe000334,ナインフォックスの爪,鋼鉄のように硬いナインフォックスの足の爪。本当に鋼鉄でできてるのかも？
336,347,qe000351,宵月学院生徒証,宵月学院の生徒であることを証明する、生徒証
337,348,qe000338,巨大ロボットの写真,メカドロシーが写っている写真。かっこよく撮れている
338,349,qe000335,不適切な希少書籍,コレクター垂涎の、超レアなエロ本。清く正しい生徒のみんなは読んじゃダメ！
339,350,qe000339,熱風ピンク・創刊号,あまりに過激な表現のせいで、創刊と同時に廃刊になったという、伝説のエロ雑誌
340,351,qe000333,Wolf Claw,A sharp wolf's claw. Getting scratched by it would be more than just painful.
341,352,qe000347,ウェアウルフの牙,硬く鋭い、迫力十分のウェアウルフの牙
342,353,qe000334,ナインフォックスの牙,虫歯一つない、健康的なナインフォックスの牙
343,354,qe000358,不思議な魚の写真,絶対おいしくないと思われる、怪しい魚の写真。様々な角度で撮ってある
344,355,qe000355,調査報告書,スーチョンの秘密基地（？）に関する調査報告書
345,356,qe000342,男物のハンカチ,ダークスーツに似合う、男物のハンカチ。少し湿っている
346,357,qe000355,書類封筒,銀行にローンを申し込むための書類が入った封筒。その分厚さが、社会の厳しさを物語っている
347,358,qe000349,受領証,品物の配達を済ませたことの証明書。これがないと後で面倒なことになる
348,359,qe000348,椅子の破片,古い椅子の壊れた破片。釘が突き出ているものもあるので要注意
349,360,qe000343,授業のノート,妖艶先生の授業内容を筆記したノート。あちこちにヨダレの跡が…
350,361,qe000359,サイコロ,何か怪しいサイコロ。特定の数字がよく出るというウワサが…
351,362,qe000335,事業アイデアノート,秘密事業の計画がびっしりと書かれたノート。ろくでもないことばかり書かれている
352,363,qe000360,爆弾,小型だが強い威力を誇る、最新式の爆弾
353,364,qe000351,訓練修了証,ステファノの訓練を修了したという証明書。これが無いと再訓練を受けさせられるかも…？
354,365,qe000117,旧校舎の写真,旧校舎の全景を撮った写真。画質は良くない
355,366,qe000008,ブラッディ・ダッキーの歯,ブラッディ・ダッキーの歯。歯みがきはあまりしてないみたい…
356,367,qe000258,地雷の破片,爆発した地雷の破片。固い壁にめり込んで、ボロボロになっていた
357,368,qe000014,謎,謎の少女が残して行った謎。これこそ正に謎だ
358,369,qe000049,地雷の残骸,地雷が爆発した後に残っていた残骸。火薬の跡が残っている
359,370,qe000225,暴動現場の写真,生徒たちが暴動を起こした時に、誰かが撮った写真。あまりに良く撮れてるので、暴動の主犯が撮った可能性がある
360,371,qe000293,バリケード,敵の突入を防ぐために使うバリケード
361,372,qe000098,最後の珠,瞳のようにみえる部分を覗き込むと、すごく小さな字で「最後」と書かれているのが見えるらしい。信じるかどうかはあなた次第
362,373,qe000085,最後の手帳,色々な「最後」について書かれている伝説の本。誰かが何かを終わらせた時、その事が自動的に書き込まれるという
363,374,etc_cs030009,キツネムギ,食物繊維が豊富な健康食である麦の、狐の洞窟にだけ自生する、非常に稀な変種。黄金色に輝いている
364,375,etc_cs030016,特ダネ,新聞の価値を高める最新情報。ガセネタを載せると信用も権威も失墜するので、真偽はしっかり確かめよう
